episode : 278 | score_avg : 11.605557162968195 | loss : 51.75068283081055 | done : True
episode : 279 | score_avg : 11.395001446671374 | loss : 3.3306915760040283 | done : True
episode : 280 | score_avg : 11.555501302004238 | loss : 4.563259124755859 | done : True
episode : 281 | score_avg : 11.399951171803815 | loss : 3.329519271850586 | done : True
episode : 282 | score_avg : 11.059956054623434 | loss : 3.3595187664031982 | done : True
episode : 283 | score_avg : 11.55396044916109 | loss : 4.76793098449707 | done : True
episode : 284 | score_avg : 11.948564404244982 | loss : 5.362729549407959 | done : True
episode : 285 | score_avg : 11.953707963820484 | loss : 4.056333541870117 | done : True
episode : 286 | score_avg : 11.658337167438436 | loss : 3.389829635620117 | done : True
episode : 287 | score_avg : 11.792503450694593 | loss : 4.364393711090088 | done : True
episode : 288 | score_avg : 11.613253105625134 | loss : 52.164642333984375 | done : True
episode : 289 | score_avg : 11.801927795062621 | loss : 7.274734020233154 | done : True
episode : 290 | score_avg : 11.621735015556359 | loss : 51.485836029052734 | done : True
episode : 291 | score_avg : 11.159561514000723 | loss : 3.2032155990600586 | done : True
episode : 292 | score_avg : 11.543605362600651 | loss : 5.343939304351807 | done : True
episode : 293 | score_avg : 10.989244826340586 | loss : 2.930647134780884 | done : True
episode : 294 | score_avg : 10.690320343706528 | loss : 3.2334060668945312 | done : True
episode : 295 | score_avg : 11.121288309335876 | loss : 5.1367411613464355 | done : True
episode : 296 | score_avg : 10.759159478402289 | loss : 3.0236594676971436 | done : True
episode : 297 | score_avg : 10.983243530562062 | loss : 8.83387279510498 | done : True
episode : 298 | score_avg : 11.334919177505856 | loss : 6.655077934265137 | done : True
episode : 299 | score_avg : 11.40142725975527 | loss : 17.221866607666016 | done : True
episode : 300 | score_avg : 11.711284533779743 | loss : 5.92354679107666 | done : True
episode : 301 | score_avg : 11.790156080401768 | loss : 10.238876342773438 | done : True
episode : 302 | score_avg : 11.511140472361593 | loss : 3.1088972091674805 | done : True
episode : 303 | score_avg : 11.660026425125434 | loss : 8.455742835998535 | done : True
episode : 304 | score_avg : 11.74402378261289 | loss : 12.945470809936523 | done : True
