episode : 167 | score_avg : 219.9769874246936 | loss : 0.05677921697497368 | done : False
episode : 168 | score_avg : 220.62928868222423 | loss : 0.09103266894817352 | done : False
episode : 169 | score_avg : 223.6163598140018 | loss : 0.031643614172935486 | done : False
episode : 170 | score_avg : 226.30472383260164 | loss : 0.0019529437413439155 | done : False
episode : 171 | score_avg : 228.7242514493415 | loss : 0.006484334357082844 | done : False
episode : 172 | score_avg : 230.90182630440736 | loss : 0.0706978589296341 | done : False
episode : 173 | score_avg : 226.41164367396664 | loss : 0.16779690980911255 | done : False
episode : 174 | score_avg : 228.82047930656998 | loss : -0.004901256877928972 | done : False
episode : 175 | score_avg : 230.838431375913 | loss : -0.004966790322214365 | done : False
episode : 176 | score_avg : 232.8045882383217 | loss : 0.03460688889026642 | done : False
episode : 177 | score_avg : 219.27412941448955 | loss : 0.07705890387296677 | done : False
episode : 178 | score_avg : 222.3967164730406 | loss : -0.010573443956673145 | done : False
episode : 179 | score_avg : 225.20704482573657 | loss : -0.01394045539200306 | done : False
episode : 180 | score_avg : 202.53634034316292 | loss : 0.2558341920375824 | done : False
episode : 181 | score_avg : 122.18270630884663 | loss : 12.581483840942383 | done : False
episode : 182 | score_avg : 131.11443567796198 | loss : 0.10688357055187225 | done : False
episode : 183 | score_avg : 141.1029921101658 | loss : 0.04514503479003906 | done : False
episode : 184 | score_avg : 152.04269289914922 | loss : 0.08346069604158401 | done : False
episode : 185 | score_avg : 76.7384236092343 | loss : 10.111570358276367 | done : False
episode : 186 | score_avg : 84.66458124831087 | loss : 0.12599970400333405 | done : False
episode : 187 | score_avg : 98.39812312347979 | loss : 0.0815429612994194 | done : False
episode : 188 | score_avg : 113.60831081113182 | loss : 0.026119956746697426 | done : False
episode : 189 | score_avg : 127.14747973001865 | loss : -0.0002308167895535007 | done : False
episode : 190 | score_avg : 139.48273175701678 | loss : -0.020203858613967896 | done : False
episode : 191 | score_avg : 148.6344585813151 | loss : 0.04742884263396263 | done : False
episode : 192 | score_avg : 156.7210127231836 | loss : 0.06872115284204483 | done : False
episode : 193 | score_avg : 166.09891145086527 | loss : 0.02697840891778469 | done : False
episode : 194 | score_avg : 173.93902030577874 | loss : 0.011653590947389603 | done : False
episode : 195 | score_avg : 169.29511827520088 | loss : 0.415187269449234 | done : False
episode : 196 | score_avg : 177.4156064476808 | loss : -0.008383522741496563 | done : False
episode : 197 | score_avg : 184.72404580291274 | loss : -0.044725872576236725 | done : False
episode : 198 | score_avg : 190.70164122262145 | loss : 0.02226836420595646 | done : False
episode : 199 | score_avg : 195.78147710035933 | loss : 0.019897956401109695 | done : False
episode : 200 | score_avg : 181.1533293903234 | loss : 0.4961376190185547 | done : False
episode : 201 | score_avg : 137.08799645129108 | loss : 0.32741057872772217 | done : False
episode : 202 | score_avg : 146.62919680616199 | loss : 0.03764699026942253 | done : False
episode : 203 | score_avg : 157.0162771255458 | loss : 0.08982760459184647 | done : False
